\	real	18	8	4	(2, 1)	RL	0	1
\	real	18	8	4	(2, 4)	LR	1	1
\	real	18	8	4	(4, 3)	RL	0	1
\	real	18	8	4	(4, 6)	LR	0	1
\	real	18	8	4	(4, 9)	LR	2	2
\	real	18	8	4	(6, 7)	LR	0	1
\	real	18	8	4	(9, 10)	LR	0	1
\	real	20	8	5	(2, 1)	RL	0	1
\	real	20	8	5	(3, 2)	RL	0	1
\	real	20	8	5	(3, 4)	LR	0	1
\	real	20	8	5	(3, 5)	LR	1	1
\	real	20	8	5	(5, 6)	LR	0	1
\	real	20	8	5	(6, 8)	LR	1	1
\	real	20	8	5	(8, 7)	RL	0	1
\	real	28	9	4	(2, 1)	RL	0	1
\	real	28	9	4	(3, 2)	RL	0	1
\	real	28	9	4	(3, 6)	LR	2	1
\	real	28	9	4	(6, 4)	RL	1	1
\	real	28	9	4	(6, 5)	RL	0	1
\	real	28	9	4	(6, 9)	LR	2	1
\	real	28	9	4	(9, 7)	RL	1	1
\	real	28	9	4	(9, 8)	RL	0	1
\	real	29	8	5	(2, 4)	LR	1	1
\	real	29	8	5	(4, 3)	RL	0	1
\	real	29	8	5	(6, 1)	RL	4	3
\	real	29	8	5	(6, 5)	RL	0	1
\	real	29	8	5	(6, 7)	LR	0	1
\	real	29	8	5	(6, 8)	LR	1	1
\	real	29	8	5	(8, 2)	RL	5	3
\	real	36	10	6	(1, 3)	LR	1	1
\	real	36	10	6	(3, 2)	RL	0	1
\	real	36	10	6	(3, 5)	LR	1	1
\	real	36	10	6	(5, 4)	RL	0	1
\	real	36	10	6	(5, 6)	LR	0	1
\	real	36	10	6	(6, 7)	LR	0	1
\	real	36	10	6	(9, 1)	RL	6	4
\	real	36	10	6	(9, 11)	LR	1	1
\	real	36	10	6	(11, 10)	RL	0	1
\	real	40	6	3	(2, 1)	RL	0	1
\	real	40	6	3	(3, 2)	RL	0	1
\	real	40	6	3	(3, 4)	LR	0	1
\	real	40	6	3	(3, 5)	LR	1	1
\	real	40	6	3	(5, 6)	LR	0	1
\	real	55	3	2	(3, 1)	RL	1	1
\	real	55	3	2	(3, 2)	RL	0	1
\	real	63	9	5	(1, 3)	LR	0	1
\	real	63	9	5	(4, 1)	RL	1	1
\	real	63	9	5	(5, 4)	RL	0	1
\	real	63	9	5	(5, 6)	LR	0	1
\	real	63	9	5	(6, 8)	LR	1	1
\	real	63	9	5	(8, 7)	RL	0	1
\	real	63	9	5	(8, 9)	LR	0	1
\	real	63	9	5	(9, 10)	LR	0	1
\	real	69	10	5	(3, 1)	RL	1	1
\	real	69	10	5	(3, 2)	RL	0	1
\	real	69	10	5	(3, 4)	LR	0	1
\	real	69	10	5	(4, 5)	LR	0	1
\	real	69	10	5	(4, 7)	LR	2	1
\	real	69	10	5	(7, 6)	RL	0	1
\	real	69	10	5	(7, 10)	LR	2	1
\	real	69	10	5	(10, 8)	RL	1	1
\	real	69	10	5	(10, 9)	RL	0	1
\	real	70	11	6	(2, 1)	RL	0	1
\	real	70	11	6	(2, 3)	LR	0	1
\	real	70	11	6	(2, 5)	LR	2	1
\	real	70	11	6	(5, 4)	RL	0	1
\	real	70	11	6	(5, 6)	LR	0	1
\	real	70	11	6	(6, 9)	LR	1	1
\	real	70	11	6	(9, 7)	RL	0	1
\	real	70	11	6	(9, 11)	LR	1	1
\	real	70	11	6	(11, 10)	RL	0	1
\	real	70	11	6	(11, 12)	LR	0	1
\	real	76	5	3	(2, 1)	RL	0	1
\	real	76	5	3	(2, 5)	LR	1	1
\	real	76	5	3	(5, 4)	RL	0	1
\	real	76	5	3	(5, 6)	LR	0	1
\	real	80	4	3	(2, 1)	RL	0	1
\	real	80	4	3	(2, 4)	LR	1	1
\	real	80	4	3	(4, 3)	RL	0	1
\	real	85	8	6	(2, 1)	RL	0	1
\	real	85	8	6	(2, 4)	LR	1	1
\	real	85	8	6	(4, 3)	RL	0	1
\	real	85	8	6	(4, 5)	LR	0	1
\	real	85	8	6	(5, 6)	LR	0	1
\	real	85	8	6	(6, 7)	LR	0	1
\	real	85	8	6	(7, 8)	LR	0	1
\	real	87	8	6	(2, 1)	RL	0	1
\	real	87	8	6	(2, 4)	LR	1	1
\	real	87	8	6	(4, 3)	RL	0	1
\	real	87	8	6	(4, 5)	LR	0	1
\	real	87	8	6	(5, 6)	LR	0	1
\	real	87	8	6	(6, 7)	LR	0	1
\	real	87	8	6	(7, 8)	LR	0	1
\	real	88	11	5	(1, 2)	LR	0	1
\	real	88	11	5	(1, 8)	LR	6	4
\	real	88	11	5	(2, 3)	LR	0	1
\	real	88	11	5	(3, 6)	LR	2	1
\	real	88	11	5	(6, 4)	RL	1	1
\	real	88	11	5	(6, 5)	RL	0	1
\	real	88	11	5	(8, 7)	RL	0	1
\	real	88	11	5	(8, 11)	LR	2	1
\	real	88	11	5	(11, 9)	RL	1	1
\	real	88	11	5	(11, 10)	RL	0	1
\	real	90	4	3	(2, 1)	RL	0	1
\	real	90	4	3	(2, 3)	LR	0	1
\	real	90	4	3	(3, 4)	LR	0	1
\	real	120	4	2	(3, 1)	RL	1	1
\	real	120	4	2	(3, 2)	RL	0	1
\	real	120	4	2	(3, 4)	LR	0	1
\	real	127	5	3	(1, 2)	LR	0	1
\	real	127	5	3	(1, 5)	LR	2	1
\	real	127	5	3	(1, 7)	LR	3	2
\	real	127	5	3	(5, 4)	RL	0	1
\	real	131	8	5	(2, 1)	RL	0	1
\	real	131	8	5	(3, 2)	RL	0	1
\	real	131	8	5	(3, 5)	LR	1	1
\	real	131	8	5	(5, 4)	RL	0	1
\	real	131	8	5	(5, 6)	LR	0	1
\	real	131	8	5	(6, 7)	LR	0	1
\	real	131	8	5	(7, 8)	LR	0	1
\	real	150	6	5	(2, 1)	RL	0	1
\	real	150	6	5	(2, 3)	LR	0	1
\	real	150	6	5	(3, 4)	LR	0	1
\	real	150	6	5	(4, 5)	LR	0	1
\	real	150	6	5	(5, 6)	LR	0	1
\	real	160	10	4	(2, 1)	RL	0	1
\	real	160	10	4	(2, 4)	LR	1	1
\	real	160	10	4	(2, 5)	LR	2	2
\	real	160	10	4	(4, 3)	RL	0	1
\	real	160	10	4	(4, 10)	LR	4	2
\	real	160	10	4	(5, 6)	LR	0	1
\	real	160	10	4	(10, 8)	RL	1	1
\	real	160	10	4	(10, 9)	RL	0	1
\	real	160	10	4	(10, 11)	LR	0	1
\	real	166	10	5	(1, 2)	LR	0	1
\	real	166	10	5	(1, 4)	LR	2	1
