\en	random	18	8	3	0.8888888888888888	4	0	0	(2, 1)	RL	0	1	1	0	0	0
\en	random	18	8	3	0.8888888888888888	4	0	0	(4, 2)	RL	1	1	1	0	0	0
\en	random	18	8	3	0.8888888888888888	4	0	0	(4, 3)	RL	0	1	1	0	0	0
\en	random	18	8	3	0.8888888888888888	4	0	0	(4, 5)	LR	0	1	1	0	0	0
\en	random	18	8	3	0.8888888888888888	4	0	0	(5, 6)	LR	0	1	1	0	0	0
\en	random	18	8	3	0.8888888888888888	4	0	0	(7, 4)	RL	2	2	1	0	0	0
\en	random	18	8	3	0.8888888888888888	4	0	0	(7, 8)	LR	0	1	1	0	0	0
\en	real	18	8	3	0.8888888888888888	4	0	0	(2, 1)	RL	0	1	1	0	0	0
\en	real	18	8	3	0.8888888888888888	4	0	0	(2, 4)	LR	1	1	1	0	0	0
\en	real	18	8	3	0.8888888888888888	4	0	0	(4, 3)	RL	0	1	1	0	0	0
\en	real	18	8	3	0.8888888888888888	4	0	0	(4, 6)	LR	0	1	1	0	0	0
\en	real	18	8	3	0.8888888888888888	4	0	0	(4, 9)	LR	2	2	1	0	0	0
\en	real	18	8	3	0.8888888888888888	4	0	0	(6, 7)	LR	0	1	1	0	0	0
\en	real	18	8	3	0.8888888888888888	4	0	0	(9, 10)	LR	0	1	1	0	0	0
\en	random	20	8	3	0.8888888888888888	5	0	0	(2, 1)	RL	0	1	1	0	0	0
\en	random	20	8	3	0.8888888888888888	5	0	0	(3, 2)	RL	0	1	1	0	0	0
\en	random	20	8	3	0.8888888888888888	5	0	0	(4, 3)	RL	0	1	1	0	0	0
\en	random	20	8	3	0.8888888888888888	5	0	0	(6, 4)	RL	1	1	1	0	0	0
\en	random	20	8	3	0.8888888888888888	5	0	0	(6, 5)	RL	0	1	1	0	0	0
\en	random	20	8	3	0.8888888888888888	5	0	0	(6, 8)	LR	1	1	1	0	0	0
\en	random	20	8	3	0.8888888888888888	5	0	0	(8, 7)	RL	0	1	1	0	0	0
\en	real	20	8	3	0.8888888888888888	5	0	0	(2, 1)	RL	0	1	1	0	0	0
\en	real	20	8	3	0.8888888888888888	5	0	0	(3, 2)	RL	0	1	1	0	0	0
\en	real	20	8	3	0.8888888888888888	5	0	0	(3, 4)	LR	0	1	1	0	0	0
\en	real	20	8	3	0.8888888888888888	5	0	0	(3, 5)	LR	1	1	1	0	0	0
\en	real	20	8	3	0.8888888888888888	5	0	0	(5, 6)	LR	0	1	1	0	0	0
\en	real	20	8	3	0.8888888888888888	5	0	0	(6, 8)	LR	1	1	1	0	0	0
